title,overall_rating,genres,language,seasons,episodes
Monster,8.7,"Adult Animation, Anime, Psychological Thriller, Seinen, Animation, Crime, Drama, Mystery, Thriller",Japanese,1,52
Naruto: Shippuden,8.7,"Anime, Martial Arts, Shōnen, Action, Adventure, Animation, Comedy, Drama, Fantasy",Japanese,21,52
One Punch Man,8.7,"Anime, Superhero, Action, Animation, Comedy, Family, Fantasy, Sci-Fi",Japanese,2,25
Arrested Development,8.7,"Quirky Comedy, Sitcom, Comedy",English,5,84
House M.D.,8.7,"Medical Drama, Drama, Mystery",English,8,176
Star Trek: The Next Generation,8.7,"Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",English,7,176
Peep Show,8.7,"Buddy Comedy, Quirky Comedy, Sitcom, Comedy",English,9,54
The Simpsons,8.7,"Adult Animation, Farce, Hand-Drawn Animation, Satire, Sitcom, Animation, Comedy",English,36,781
Mad Men,8.7,"Epic, Period Drama, Workplace Drama, Drama",English,7,92
Blue Eye Samurai,8.7,"Adult Animation, Period Drama, Samurai, Action, Adventure, Animation, Drama, History, Thriller",English,1,9
The Grand Tour,8.7,"Motorsport, Comedy, Sport, Talk Show",English,6,46
The Shield,8.7,"Cop Drama, Police Procedural, Crime, Drama, Thriller",English,7,89
Downton Abbey,8.7,"Costume Drama, Period Drama, Drama, Romance",English,6,52
The Last of Us,8.7,"Dystopian Sci-Fi, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi, Thriller",English,2,16
Fleabag,8.7,"Dark Comedy, Raunchy Comedy, Comedy, Drama",English,2,12
Severance,8.7,"Conspiracy Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Workplace Drama, Drama, Mystery, Sci-Fi, Thriller",English,2,19
Dark,8.7,"Epic, Psychological Drama, Psychological Thriller, Suspense Mystery, Time Travel, Crime, Drama, Mystery, Sci-Fi, Thriller",German,3,26
Berserk,8.7,"Action Epic, Adult Animation, Adventure Epic, Anime, Dark Fantasy, Epic, Fantasy Epic, Hand-Drawn Animation, Seinen, Splatter Horror",Japanese,1,25
My Mister,9,"Korean Drama, Drama, Family",Korean,1,16
Oz,8.7,"Prison Drama, Crime, Drama, Thriller",English,6,56
Rome,8.7,"Period Drama, Sword & Sandal, Action, Drama, Romance, War",English,2,22
Steins;Gate,8.8,"Anime, Time Travel, Animation, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",Japanese,1,26
Six Feet Under,8.7,"Dark Comedy, Psychological Drama, Comedy, Drama",English,5,63
X-Men '97,8.8,"Adult Animation, Superhero, Action, Adventure, Animation, Fantasy, Sci-Fi",English,1,12
Peaky Blinders,8.7,"Gangster, Period Drama, Crime, Drama",English,6,36
Reply 1988,9,"Korean Drama, Comedy, Drama, Family, Romance",Korean,1,20
Ted Lasso,8.8,"Soccer, Workplace Drama, Comedy, Drama, Sport",English,3,35
