title,genres,language,seasons,episodes
Cowboy Bebop,"Adult Animation, Anime, Cyberpunk, Space Sci-Fi, Action, Adventure, Animation, Comedy, Drama, Sci-Fi",Japanese,1,26
The Beatles: Get Back,"Docuseries, Music Documentary, Biography, Documentary, Music",English,1,3
Dekalog,"Psychological Drama, Drama",Polish,1,10
Seinfeld,"Sitcom, Comedy",English,9,172
Gravity Falls,"Dark Fantasy, High-Concept Comedy, Quirky Comedy, Satire, Supernatural Fantasy, Adventure, Animation, Comedy, Family, Fantasy",English,2,41
Death Note,"Adult Animation, Anime, Cop Drama, Hard-boiled Detective, Legal Drama, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Shōnen",Japanese,1,37
The Civil War,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1,9
Only Fools and Horses,"Sitcom, Comedy",English,9,64
Firefly,"Space Sci-Fi, Adventure, Drama, Sci-Fi",English,1,14
Hunter x Hunter,"Adult Animation, Anime, Quest, Shōnen, Supernatural Fantasy, Action, Adventure, Animation, Comedy, Fantasy",Japanese,1,51
Frozen Planet,"Nature Documentary, Documentary",English,1,10
Human Planet,"Nature Documentary, Travel Documentary, Documentary",English,1,8
Scam 1992: The Harshad Mehta Story,"Docudrama, True Crime, Biography, Crime, Drama, Thriller, Financial Drama",Hindi,1,10
Clarkson's Farm,"Comedy, Documentary, Reality TV",English,4,25
The Blue Planet,"Nature Documentary, Documentary",English,1,8
Better Call Saul,"Drug Crime, Epic, Legal Drama, Psychological Drama, Tragedy, Crime, Drama",English,6,63
Arcane,"Action Epic, Adult Animation, Computer Animation, Steampunk, Supernatural Fantasy, Action, Adventure, Animation, Drama, Fantasy",English,2,18
Batman: The Animated Series,"Hand-Drawn Animation, Superhero, Urban Adventure, Action, Adventure, Animation, Crime, Family, Mystery, Sci-Fi",English,4,76
Sherlock,"Police Procedural, Whodunnit, Crime, Drama, Mystery, Thriller",English,4,15
Attack on Titan,"Action Epic, Adult Animation, Anime, Shōnen, Survival, Tragedy, Action, Adventure, Animation, Drama",Japanese,4,98
The Vietnam War,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1,10
The Twilight Zone,"Dark Fantasy, Dystopian Sci-Fi, Space Sci-Fi, Supernatural Fantasy, Supernatural Horror, Time Travel, Drama, Fantasy, Horror, Mystery",English,5,156
The Last Dance,"Basketball, Docuseries, Sports Documentary, Biography, Documentary, History, Sport",English,1,10
Rick and Morty,"Adult Animation, Farce, Parody, Satire, Sitcom, Time Travel, Adventure, Animation, Comedy, Sci-Fi",English,8,78
Life,"Docuseries, Nature Documentary, Documentary",English,1,11
Fullmetal Alchemist: Brotherhood,"Anime, Shōnen, Steampunk, Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi",Japanese,1,55
The World at War,"Docuseries, History Documentary, Military Documentary, Documentary, History, War",English,1,26
Bluey,"Animal Adventure, Animation, Family",English,4,193
Game of Thrones,"Action Epic, Dark Fantasy, Epic, Fantasy Epic, Sword & Sorcery, Tragedy, Action, Adventure, Drama, Fantasy",English,8,74
Our Planet,"Docuseries, Nature Documentary, Documentary",English,2,12
The Sopranos,"Epic, Gangster, Crime, Drama",English,6,86
Blue Planet II,"Nature Documentary, Documentary",English,1,7
Avatar: The Last Airbender,"Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest, Supernatural Fantasy, Teen Fantasy, Action, Adventure, Animation, Family",English,2,62
The Wire,"Cop Drama, Drug Crime, Epic, Police Procedural, Crime, Drama, Thriller",English,5,60
Chernobyl,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Drama, History, Thriller",English,1,5
Band of Brothers,"Historical Epic, Tragedy, War Epic, Action, Drama, History, War",English,1,10
Planet Earth,"Docuseries, Nature Documentary, Documentary, Family",English,1,11
Planet Earth II,"Docuseries, Nature Documentary, Documentary",English,1,6
Breaking Bad,"Drug Crime, Epic, Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller",English,5,62
